filename,left-eye,right-eye
99326db5-ebfb-493e-b23b-f01355f5fdc2_JPG.rf.da0562427eba60f13466dd53f6ec6c6a.jpg,1,1
1-6902-_jpg.rf.b000f7f9488c4ba2f8bb0cd28457efb0.jpg,1,1
1-6983-_jpg.rf.72620a75ed9d59e637772122f1280d43.jpg,1,1
1-6957-_jpg.rf.f1a68373240c21f68411990ecf3b9f77.jpg,0,0
1-6858-_jpg.rf.d98739885685c88f3d816b1b9b987230.jpg,1,1
1-6870-_jpg.rf.9fcc798a01f5d28fca7e846c2600d953.jpg,1,0
1-6853-_jpg.rf.58597d0928ef3c60401ee8d5f31af204.jpg,1,1
1-6916-_jpg.rf.6954231116e707fb3f4a2ef854bb2349.jpg,1,1
1-6974-_jpg.rf.bd1bc563d1a5e283f176ffa17dc3d8fd.jpg,1,1
1-6921-_jpg.rf.a6cf0cc5fdca6c614a94e45a6736ae9d.jpg,1,1
1-6938-_jpg.rf.eb1b617f6f5ef1993f0c8e5baa1328da.jpg,1,1
1-6984-_jpg.rf.d7bb38e4bbbb6fc755ff43a10ff2ff7b.jpg,1,1
1-6940-_jpg.rf.8c2d447fdb54eb7d8210e7d9c3b43f91.jpg,0,1
5d80cb4e-7439-4ea0-9789-757f39a41fe3_JPG.rf.538f91b7c27fc786d7dd862a83e62f09.jpg,1,1
1-6960-_jpg.rf.cf4b0bf47ba3235bb13aaf64f09d267c.jpg,1,1
1-6863-_jpg.rf.271d555d951b7e4081325111911eec44.jpg,1,1
ec22c8c7-e474-41ca-9e05-a4e7647ec28e_JPG.rf.14911c0335fd2e26b94e1ecfb9e0b74e.jpg,1,1
1-6913-_jpg.rf.ca01543d50cb59ea5498854b46cc1870.jpg,1,1
1-6859-_jpg.rf.ec561e15abff7bd8ab9474c1f2717680.jpg,1,1
1-6891-_jpg.rf.9a65c7477777923ffd09bec75a09cd4d.jpg,1,0
1-6865-_jpg.rf.5430407fdaa70665ff2dcb374209df9a.jpg,1,1
1-6911-_jpg.rf.85266be087da4ef8faf5c127b5216b85.jpg,1,1
1-6836-_jpg.rf.4f06091bab06fa7c35ccd11371402565.jpg,1,1
1-6838-_jpg.rf.4c5b68134ef020d3ab4ce0d59a80a22f.jpg,1,1
1-6917-_jpg.rf.f5ab51977846505528329d1898aec86e.jpg,1,1
f176525e-04cd-4aa1-a5e1-8be6f940858e_JPG.rf.9f24752c6beadab64d70a1a923591385.jpg,1,1
1-6982-_jpg.rf.0a5aa870eed6ed55dc4a436bc2ad10fa.jpg,1,1
1-6918-_jpg.rf.7be6ed48a36c8b45b28e7db6ede075be.jpg,1,1
1-6955-_jpg.rf.ec77995982c91f4ed3ad9123f5d9481b.jpg,1,1
1-6973-_jpg.rf.f69f50873b2c726dc8f46eb0a16c6899.jpg,0,1
1-6851-_jpg.rf.957d2674d19d9f22acc95efbfca1e458.jpg,1,1
1-6959-_jpg.rf.92eec3422bb2daf22d977a6f83a05deb.jpg,1,1
c6060dfd-5d0c-4adb-9db9-775c9596b9e4_JPG.rf.933c3cfd91aace27bbe15ba60ebc0063.jpg,1,1
1-6915-_jpg.rf.bcc58a1737ca4d2a595cc0de2e08e390.jpg,1,1
1-6930-_jpg.rf.42c01e09f4f4e3edbe7bdd31bfbed025.jpg,1,1
